Institution,Query,Link 1,Link 2,Link 3
University of Northern Iowa,University of Northern Iowa Delta_Chi frat,https://union.uni.edu/involvement/fraternity-sorority-life/history-fraternity-sorority-life,https://union.uni.edu/involvement/fraternity-sorority-life/history-fraternity-sorority-life,https://union.uni.edu/involvement/fraternity-sorority-life/history-fraternity-sorority-life
Quinnipiac University,Quinnipiac University Delta_Chi frat,https://quchronicle.com/89901/featured/delta-chi-fraternity-temporarily-suspended-from-universitys-greek-life/,https://quchronicle.com/89901/featured/delta-chi-fraternity-temporarily-suspended-from-universitys-greek-life/,https://quchronicle.com/89901/featured/delta-chi-fraternity-temporarily-suspended-from-universitys-greek-life/
West Coast University-Ontario,West Coast University-Ontario Delta_Chi frat,https://sigmachi.ca/western-ontario/,https://www.greekrank.com/uni/507/fraternities/,https://www.greekrank.com/uni/507/fraternities/
University of Arkansas at Little Rock,University of Arkansas at Little Rock Delta_Chi frat,https://ualr.edu/studentorgs/fsl/,https://ualr.edu/studentorgs/fsl/,https://www.greekrank.com/uni/477/fraternity/D-Chi-Delta-Chi/46/rating/rating-1923517/
Rowan University,Rowan University Delta_Chi frat,https://sites.rowan.edu/oslp/greekaffairs/chapters.html,https://sites.rowan.edu/oslp/greekaffairs/chapters.html,https://www.greekrank.com/uni/295/greek-life/
California State University-Fullerton,California State University-Fullerton Delta_Chi frat,https://www.greekrank.com/uni/53/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/53/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/53/fraternity/D-Chi-Delta-Chi/46/rating/
Indiana University-Bloomington,Indiana University-Bloomington Delta_Chi frat,https://deltachi.org/indiana-university/,https://www.greekrank.com/uni/71/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/71/fraternity/D-Chi-Delta-Chi/46/rating/
University of New Haven,University of New Haven Delta_Chi frat,https://www.newhaven.edu/student-life/get-involved/student-activities/greek/index.php,https://www.greekrank.com/uni/473/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/473/fraternity/D-Chi-Delta-Chi/46/rating/
California State University-Sacramento,California State University-Sacramento Delta_Chi frat,https://www.greekrank.com/uni/391/fraternity/D-Chi-Delta-Chi/46/rating/page-1/,https://www.greekrank.com/uni/391/fraternity/D-Chi-Delta-Chi/46/rating/page-1/,https://www.greekrank.com/uni/391/fraternity/D-Chi-Delta-Chi/46/rating/page-1/
Lehigh University,Lehigh University Delta_Chi frat,https://studentaffairs.lehigh.edu/content/delta-chi,https://www.greekrank.com/uni/87/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/87/fraternity/D-Chi-Delta-Chi/46/rating/
