Chapter,Charter date and range,Institution,City,State or province,Status,Reference
Gamma Deuteron,"April 1867–1875;
November 28, 1885",Knox College,Galesburg,IL,Active,
Delta Deuteron (see Phi Second),"October 24, 1867 – November 6, 1869",Northwestern University,Evanston,IL,Reestablished,
Epsilon Deuteron,"November 13, 1867 – October 26, 1894",Muhlenberg College,Allentown,PA,Inactive,
Zeta Deuteron,"February 29, 1868 – June, 1869;
June 3, 1870 – 1878;
October 7, 1890",Washington & Lee University,Lexington,VA,Active,
Eta Deuteron,"June 1868–1879;
April 23, 1994 – April 2001",University of Mississippi,Oxford,MS,Inactive,
Theta Deuteron,"October 25, 1869 – February 22, 2008;
2012",Ohio Wesleyan University,Delaware,OH,Active,
Chi Second,"October 2, 1869 – 1878",Monmouth College,Monmouth,IL,Inactive,
Iota Deuteron,"December 7, 1869 – 1878",Cumberland University,Lebanon,TN,Inactive,
Phi Second (see Delta Deuteron),"April 25, 1870 – October 26, 1872;
January 1, 1931",Northwestern University,Evanston,IL,Active,[q]
Delta Deuteron,"December 1870–1904;
September 23, 1967",Hampden-Sydney College,Hampden Sydney,VA,Active,[r]
Kappa Deuteron,"January 19, 1871 – 1874;
April 26, 1884 – 1891;
March 23, 1968",University of Georgia,Athens,GA,Active,
Zeta,"May 22, 1871",Indiana University,Bloomington,IN,Active,
Lambda Deuteron,"September 21, 1872 – 1874",Thiel College,Greenville,PA,Inactive,
Mu Deuteron,"March 8, 1873 –1873;
October 25, 1919 – September 1, 2005;
October 6, 2012",University of Iowa,Iowa City,IA,Active,[s]
Nu Deuteron,"February 22, 1875 – 18xx ?;
November 27, 1888 – 1965",Yale University,New Haven,CT,Inactive,[t]
Xi Deuteron,"November 27, 1875 – 1879;
1886–1899;
1902–August 2004;
May 12, 2007",Case Western Reserve University,Cleveland,OH,Active,[u]
Omicron Deuteron,"March 25, 1878 – November 24, 1997;
March 5, 2005",Ohio State University,Columbus,OH,Active,
Phi Third (see Phi Deuteron),"October 11, 1878 – 1883",University of Maryland,Baltimore,MD,Reestablished,
Chi Third,"October 16, 1880 – 1887",Racine College,Racine,WI,Inactive,[v]
Iota Second,"October 30, 1880 – September 2, 1882;
February 17, 1913 – 1965",Williams College,Williamstown,MA,Inactive,[w][x]
Beta Second,"February 26, 1881 – 1883;
December 18, 1890 – May 1999;
April 10, 2010",University of Pennsylvania,Philadelphia,PA,Active,[y]
Gamma Second (see Delta Xi),"February 26, 1881 – 1885","University of California, Berkeley",Berkeley,CA,Reestablished,
Pi Deuteron,"October 29, 1881",University of Kansas,Lawrence,KS,Active,
Delta Second,"January 28, 1882 – September 1, 2008;
September 8, 2009",Bucknell University,Lewisburg,PA,Active,
Rho Deuteron,"May 26, 1882 – February 1913",College of Wooster,Wooster,OH,Inactive,[7][z][aa]
Sigma Deuteron,"February 27, 1883 – 2009",Lafayette College,Easton,PA,Inactive,[8][ab]
Tau Deuteron,"December 11, 1883 – 1887;
September 6, 1901",University of Texas at Austin,Austin,TX,Active,
Sigma Second,"October 25, 1884 – November 2018",Wittenberg University,Springfield,OH,Inactive,[ac]
Lambda Deuteron,"February 28, 1885 – 2007",Denison University,Granville,OH,Inactive,
Alpha Phi,"November 14, 1885 – Spring 1895;
August 7, 1902 – January 21, 2000;
November 6, 2004",University of Michigan,Ann Arbor,MI,Active,
Beta Chi,"January 12, 1886 – 2013",Lehigh University,Bethlehem,PA,Inactive,[ad]
Zeta Phi,"April 24, 1886",William Jewell College,Liberty,MO,Active,[ae]
Delta Xi (see Gamma Second),"November 27, 1886 – 1968;
November 9, 1974 – July 30, 1993;
February 1, 2003","University of California, Berkeley",Berkeley,CA,Active,
Theta Psi,"October 31, 1887 – 1969;
March 20, 1976 – 1989",Colgate University,Hamilton,NY,Inactive,[af]
Gamma Phi,"January 7, 1888",Pennsylvania State University,University Park,PA,Active,
Kappa Nu,"March 19, 1888 – 1989;
1993–2020;
2022",Cornell University,Ithaca,NY,Active,[ag]
